date,cu_solution_ppm_avg,nacn_consumption_tpd,specific_nacn_kgpt,free_cn_ppm_avg,complexed_cn_gpl_avg,recovery_au_pct,cn_efficiency_index
2025-12-03,5559.0,58.78,6.675676217437836,31.916666666666668,13.735166666666665,58.45295978440057,0.027173913043478257
2026-01-12,3818.178571428571,25.0,4.045839011104621,63.642857142857146,9.881,59.47512220809573,0.042763157894736836
2026-01-31,3813.3125,26.16,3.923392452974594,141.21875,10.611281250000001,58.67613790737269,0.05813953488372092
2026-01-04,4333.28125,37.458,6.086625299908823,186.59375,12.18309375,56.61331154493624,0.06406685236768803
2026-02-23,2836.375,10.215,5.107738275990575,136.625,7.830874999999999,60.997410513658714,0.06521739130434782
2026-02-12,3211.25,3.405,2.4741011660050614,165.5,9.0595,46.42165797053686,0.07075471698113209
2025-12-19,4290.0,57.4,11.37190211011191,17.375,10.140125000000001,65.05409063698778,0.08222811671087533
2026-01-25,4131.083333333333,4.54,5.495970590020286,221.16666666666669,11.656333333333334,60.10416371222947,0.10826210826210826
2025-11-29,6570.0,30.645,8.256376869050953,32.0,16.267999999999997,68.13461035509305,0.1099195710455764
2025-12-26,4161.5,34.05,3.9139557350572667,171.5625,11.83,62.302264794506,0.11166666666666666
2025-12-02,6453.35,36.0,4.278328820587746,7.226999999999999,14.397772999999999,67.19122044103638,0.11550632911392404
2026-02-05,4634.285714285714,45.4,6.626625501018136,150.89285714285714,12.66410714285714,65.46646772435525,0.11716621253405994
2026-03-07,3813.1875,32.7,6.568777584929199,228.34375,11.05634375,62.202195600656,0.12704918032786885
2026-02-25,3093.125,27.0,3.6710564102479375,224.40625,8.63903125,59.369914995959846,0.13020833333333334
2025-11-22,5090.25,60.915,8.640021105395066,101.33333333333334,13.6095,69.02724493947271,0.13333333333333333
2025-11-23,5168.375,69.265,4.611057637754473,193.96875,14.345986607142859,63.648346751077554,0.13444108761329304
2026-03-06,3609.5,19.215,5.2342144525455385,186.10714285714283,10.060678571428573,65.21657036444014,0.14080459770114942
2026-02-13,2902.53125,26.16,4.447687461968211,222.25,8.2836875,62.51635205360429,0.14197530864197533
2026-02-22,2601.53125,18.16,4.943147223494316,176.0,7.4211875,65.4680249905402,0.14222873900293254
2026-02-24,3094.1071428571427,34.08,4.797640794760619,279.2857142857143,8.797357142857143,56.899297242813475,0.1488095238095238
