date,cu_solution_ppm_avg,nacn_consumption_tpd,specific_nacn_kgpt,free_cn_ppm_avg,complexed_cn_gpl_avg,recovery_au_pct,cn_efficiency_index
2025-07-11,704.375,0.0,0.0,823.125,2.816875,82.35319635890524,82.75
2025-03-03,775.25,0.0,0.0,545.8125,2.9073124999999997,82.8133404842448,73.25
2025-08-15,1416.0416666666667,0.0,0.0,515.4583333333333,4.601208333333334,77.58377951256239,54.75
2025-04-13,510.25,0.0,0.0,794.0,2.2485000000000004,-2.05596856412066e-14,44.0
2025-07-10,818.5625,2.0,0.17078171616070237,927.5,3.244375,80.18151673721022,38.75
2025-07-25,1078.6666666666667,0.0,0.0,224.16666666666666,3.3366666666666664,80.1242886950973,38.625
2025-07-09,916.40625,3.27,0.2433164161456291,928.5,3.6471250000000004,77.15238227713293,30.61111111111111
2025-03-16,916.0625,3.0,0.2647629816240943,462.3125,3.2833125,83.15855512062453,26.999999999999996
2025-05-04,759.65625,3.405,0.30928957927651907,863.53125,2.9008437500000004,75.91945892398515,23.5
2025-04-15,494.5,6.81,0.4751034457522735,666.75,2.2116875,85.6878158342691,22.6
2025-03-20,817.40625,7.0,0.49698453425797345,928.0625,3.2363124999999995,83.27813774855808,20.47058823529412
2025-05-28,873.4375,4.505,0.32194228861819596,869.5625,3.4410625,72.76952778222568,20.25
2025-03-21,785.9375,7.0,0.4938098064736935,587.21875,3.06496875,81.61445646638575,17.906250000000004
2025-01-11,1167.3333333333333,0.0,0.0,308.5,3.8731666666666666,61.77446626762414,17.5
2025-05-05,761.6666666666667,2.27,0.5499595622244358,709.1666666666667,2.904166666666667,84.90305952421906,16.357142857142858
2025-01-23,1154.90625,8.0,0.5404189900855272,738.75,4.4846875,78.37714501143867,13.674999999999999
2025-03-11,634.125,8.0,0.5185024252594471,467.375,2.4295,79.49258067757182,12.777777777777777
2025-05-31,822.0,0.0,0.0,215.75,3.013,64.16127627182887,12.5
2025-06-25,1522.0833333333333,4.55589,0.41907842649728716,361.04166666666663,4.907083333333333,76.71286672541035,12.461538461538462
2025-04-16,500.0,7.945,0.57972650232949,638.40625,2.2528437499999994,83.33942003427983,12.192307692307693
