date,cu_regime,throughput_tpd,cu_solution_ppm_avg,specific_nacn_kgpt,nacn_consumption_tpd,free_cn_ppm_avg,wad_gpl_avg,complexed_cn_gpl_avg,recovery_au_pct,flag_high_nacn_low_free,flag_high_nacn_low_recovery,flag_high_nacn_high_complexed
2025-07-02,Medium Cu,1124.04,1137.0,8.07800434148251,9.08,239.0,3.84,3.601,75.44687125790723,True,False,False
2025-07-05,Medium Cu,5381.826,1225.85,4.6378311004480635,24.96,313.8,4.509,4.195200000000001,41.34307591955865,False,True,False
2025-08-28,Medium Cu,3822.5798,1434.0,3.754009268818927,14.35,226.5,4.68125,4.454750000000001,88.12750411485679,True,False,False
2025-09-08,Medium Cu,14688.8208,2283.6875,4.183453582604806,61.45,367.5,7.5159375,7.1484375,68.00015579263196,False,True,False
2025-09-12,High Cu,13371.8458,2751.03125,4.328871336521097,57.885000000000005,273.6875,8.413124999999999,8.1394375,76.30383242320647,True,False,False
2025-09-13,High Cu,10892.1016,2865.15625,4.480769808463777,48.805,270.375,8.70875,8.438375,63.47583939851778,True,True,False
2025-09-14,High Cu,8660.427599999999,3010.28125,7.077017767575358,61.290000000000006,354.9375,9.2425,8.8875625,68.13894795634108,False,True,False
2025-09-23,Medium Cu,13742.791799999999,2429.0625,3.9642600130200623,54.48,558.21875,8.3465625,7.788343749999999,60.739842887712605,False,True,False
2025-10-19,High Cu,11716.086,3276.3125,5.812521348853194,68.10000000000001,493.5625,10.4125,9.9189375,85.78437260928352,False,False,True
2025-10-20,High Cu,13800.823,3415.34375,5.921385992704928,81.72,624.46875,11.119375000000002,10.494906250000001,83.33730643208467,False,False,True
2025-11-01,High Cu,11872.417,3494.46875,4.588787607443371,54.48,502.96875,11.0928125,10.58984375,81.17377473712418,False,False,True
2025-11-02,High Cu,14511.595,3240.09375,3.441386008912184,49.94,694.5625,10.8390625,10.1445,78.20360859228391,False,False,True
2025-11-03,High Cu,14570.826,3406.6875,4.941380811218252,72.0,478.9375,10.7884375,10.3095,68.52506799518962,False,True,True
2025-11-08,High Cu,12606.615,3430.321428571429,3.871380223795206,48.805,167.7857142857143,9.939642857142857,9.771857142857144,81.30632443679863,True,False,False
2025-11-09,High Cu,14258.853000000001,3855.90625,6.208774296221442,88.53,362.625,11.718124999999999,11.3555,77.75073865091575,False,False,True
2025-11-12,High Cu,15970.657500000001,4164.375,4.832612558374631,77.18,146.6875,11.7815625,11.634875,72.65012153547178,True,False,True
2025-11-13,High Cu,13495.230000000001,4539.041666666667,6.475991887503955,87.39500000000001,142.0,12.582916666666666,12.440916666666666,81.22552699407214,True,False,True
