date,cu_regime,free_cn_status,support_position,throughput_tpd,cu_solution_ppm_avg,free_cn_ppm_avg,wad_gpl_avg,complexed_cn_gpl_avg,specific_nacn_kgpt,nacn_consumption_tpd,recovery_au_pct,regime_free_cn_band,support_analogue_count,support_specific_nacn_band,support_nacn_tpd_band,support_free_cn_p50,support_recovery_p50,support_comment
2025-12-27,High Cu,Normal Free CN,High dose / high complexation risk,8542.422,4149.25,220.40625,12.265625,12.04521875,8.370576869183001,71.505,70.97104607223923,186 to 422,20,3.33 to 5.26,47.7 to 65.5,397.484375,78.41523179108906,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated.
2026-01-21,High Cu,Normal Free CN,High dose / high complexation risk,16879.1756,4229.1875,269.0625,12.281875000000001,12.0128125,4.303527714943614,40.86,77.67584581711793,186 to 422,20,2.58 to 3.88,21.6 to 57.6,308.71875,78.15597962947307,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated.
2025-11-20,High Cu,Low Free CN,High dose / high complexation risk,12460.140000000001,4772.90625,45.03125,12.0434375,11.99840625,5.522409860563364,68.81,76.85556465062132,186 to 422,20,2.77 to 4.78,37.5 to 62.5,412.359375,79.03062304370931,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated.
2026-02-04,High Cu,Normal Free CN,High dose / high complexation risk,15933.246,4293.25,187.28125,12.095624999999998,11.908343749999998,4.221675859394878,30.945,72.31301843132631,186 to 422,20,3.13 to 4.03,30.0 to 57.6,296.53125,77.85646338743865,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated.
2026-02-01,High Cu,Low Free CN,High dose / high complexation risk,15933.246,4229.6875,183.09375,12.0025,11.81940625,5.300865875038897,44.05,70.33207465672004,186 to 422,20,3.13 to 4.03,30.0 to 57.6,296.53125,77.85646338743865,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated. Recovery is currently in the lower historical range.
2025-12-20,High Cu,High Free CN,High dose / high complexation risk,15159.186,4036.9375,487.3125,12.26375,11.7764375,5.679724491803188,86.1,68.68740498040502,186 to 422,20,3.28 to 4.78,49.1 to 65.5,395.453125,78.41523179108906,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated. Recovery is currently in the lower historical range.
2026-01-22,High Cu,Low Free CN,High dose / high complexation risk,15626.4052,4158.34375,174.375,11.9134375,11.739062500000001,5.473747730540099,45.4,73.64805683021743,186 to 422,20,2.73 to 4.03,28.5 to 53.9,296.53125,77.81901697053975,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated.
2026-01-25,High Cu,Normal Free CN,High dose / high complexation risk,7434.5376,4131.083333333333,221.16666666666669,11.877500000000001,11.656333333333334,5.495970590020286,4.54,60.10416371222947,186 to 422,20,3.15 to 5.26,31.3 to 62.5,323.16145833333337,78.01280847605125,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated. Recovery is currently in the lower historical range.
2026-03-03,High Cu,High Free CN,High dose / high complexation risk,10524.0355,3731.625,997.3125,12.6521875,11.654875,4.706844631985516,29.105,64.41124203688157,186 to 422,20,2.58 to 3.92,23.6 to 54.6,385.484375,76.12281417382414,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated. Recovery is currently in the lower historical range.
2025-11-12,High Cu,Low Free CN,High dose / high complexation risk,15970.657500000001,4164.375,146.6875,11.7815625,11.634875,4.832612558374631,77.18,72.65012153547178,186 to 422,20,2.41 to 4.74,35.2 to 58.7,555.7901785714286,78.77186234251916,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated.
