date,cu_regime,guidance_status_v2,throughput_tpd,cu_solution_ppm_avg,specific_nacn_kgpt,free_cn_ppm_avg,complexed_cn_gpl_avg,recovery_au_pct,analogue_count,analog_specific_p25,analog_specific_p50,analog_specific_p75,analog_free_cn_p50,analog_complexed_p50,analog_recovery_p50
2025-01-01,Medium Cu,Normal,13872.0414,1118.75,2.018448416683647,432.75,3.766625,76.71389706313914,20,1.3294318683851327,1.516007484461936,2.0604804749325236,484.92261904761904,4.149513392857143,77.94067616038896
2025-01-02,Medium Cu,Normal,12805.4052,1239.1785714285716,2.1865766496791528,465.25,4.147964285714285,80.62971691568066,20,1.323874737087599,1.5754037849599947,2.0604804749325236,486.21949404761904,4.149513392857143,78.2755967172595
2025-01-03,Medium Cu,Normal,13264.1838,1266.8125,2.7140757805240905,610.34375,4.37621875,81.1526191616445,20,1.221689331503131,1.3535193504382246,1.8839380592288597,506.52604166666663,4.1731718749999995,77.65761984645053
2025-01-04,Medium Cu,Normal,11038.5786,1315.607142857143,2.8989239610976725,645.8214285714286,4.5681071428571425,83.48163250945768,20,1.221689331503131,1.3535193504382246,2.0604804749325236,491.96875,4.262091517857142,77.52995145314256
2025-01-06,Medium Cu,Normal,12205.242,1434.0,1.2453665400489395,544.3125,4.8775625,79.06584499867073,20,1.2402744475764504,1.516007484461936,2.0604804749325236,486.21949404761904,4.134232142857142,77.9945042198088
2025-01-07,Medium Cu,Normal,11263.639799999999,1445.5625,1.3672312212966895,682.59375,4.925218750000001,76.60067356706939,20,1.3603752858674572,1.7363101475172469,2.095371071441638,533.65625,4.282671875,78.54874047191885
2025-01-08,Medium Cu,Normal,11768.5848,1275.21875,1.3765461417247042,865.34375,4.52309375,73.72530768996914,20,1.2632588073029287,1.371888681510697,2.0300786155200186,611.859375,4.1733883928571425,78.39118696924695
2025-01-09,Medium Cu,Normal,12491.8584,1269.0714285714287,0.6724379776831284,523.0,4.380928571428571,77.47612339372272,20,1.2683990172205726,1.5238124486425833,2.0604804749325236,491.96875,4.134232142857142,78.2755967172595
2025-01-10,Medium Cu,Normal,3274.929,1183.5,2.4428010500380313,388.375,3.941625,84.2169443479963,20,1.0118866573180196,2.2332557013526517,2.9978927508035946,397.453125,4.065140625,81.89973265983332
2025-01-11,Medium Cu,Normal,4485.8351999999995,1167.3333333333333,0.0,308.5,3.8731666666666666,61.77446626762414,20,0.9869880809401516,1.8134353758444774,2.9978927508035946,374.7083333333333,4.00084375,81.17885461128515
2025-01-12,Medium Cu,Normal,11272.296,1073.5,1.774261428195285,356.34375,3.6517812499999995,78.14596450746379,20,1.3647411488019177,1.774462706163948,2.068779920158953,356.109375,4.15125,78.79060329351478
2025-01-13,Medium Cu,Normal,13061.244,1115.25,1.2249981701589834,303.46875,3.72778125,79.05487304287395,20,1.2799783186406848,1.546377682188003,2.5324379890326965,383.7864583333333,4.150049107142857,78.55397232774376
2025-01-14,Medium Cu,Normal,12081.1698,1094.78125,1.6554688271991675,284.0625,3.6546874999999996,79.934373717704,20,1.221689331503131,1.3709141586346327,1.8727025218068545,383.7864583333333,4.150049107142857,77.54676475126868
2025-01-15,Medium Cu,Normal,9078.4302,1219.96875,2.7031105003153515,355.875,4.0600625,81.23141556427326,20,1.2182430914973155,1.8324975227628542,2.222507992935129,358.4583333333333,4.159515625,78.49056669210171
2025-01-16,Medium Cu,Normal,6530.241570469501,1186.78125,4.440877062058671,451.65625,4.07021875,82.75234621125969,20,0.9448263688100995,1.5674236367681509,2.77000528179218,397.453125,4.065140625,81.52425016254512
2025-01-17,Medium Cu,Normal,9656.380827523106,1165.09375,1.6983588668392084,580.53125,4.16759375,78.8719431860514,20,0.8786603177805171,1.5089633693834132,2.0064069222101972,525.6041666666666,4.037968749999999,78.70056683056617
2025-01-18,Medium Cu,Normal,11827.843342491684,1253.78125,1.4372865371768389,427.875,4.469625,82.53587865136848,20,1.221970951552028,1.6174146982201778,2.2471119359287974,447.3125,4.131392857142858,78.69275146007121
2025-01-19,Medium Cu,Normal,10851.085521338264,1351.4375,2.2117602845176068,406.53125,4.781906249999999,80.23349053350091,20,1.1833942184803983,1.5851174349312767,2.382848182255668,439.765625,4.187439732142858,78.70395634120389
2025-01-20,Medium Cu,Normal,14634.465314931611,1355.0625,1.298305034801252,466.75,4.8479375000000005,72.55624247292751,20,1.2252797902078805,1.6174146982201778,2.2471119359287974,447.3125,4.134767857142857,77.89226589647612
2025-01-21,Medium Cu,Normal,13057.241620118302,1303.6875,1.225373663557513,532.21875,4.66590625,72.60004029723375,20,1.221970951552028,1.5470633059522867,2.0531279160788443,472.015625,4.104015625000001,77.89226589647612
2025-01-22,Medium Cu,Normal,13459.378438654961,1197.875,1.1516133579753156,885.40625,4.58365625,80.37024957904451,20,1.2850704111131739,1.676913847019188,2.2695204758977128,458.453125,4.27190625,79.06035902077234
