date,throughput_tpd,rt_hours_est,nacn_input_tpd,wad_cn_accountability_pct,cu_solution_fraction_pct_est,flag_count,flag_high_cu_solution_fraction,flag_high_wad_accountability,flag_high_specific_nacn,flag_high_rt,flag_low_rt
2025-03-22,14746.069,28.381,12.0,414.887,257.037,2,True,True,False,False,False
2025-03-23,10397.775,40.249,8.0,415.045,436.348,2,True,True,False,False,False
2025-03-24,12713.533,32.918,13.62,286.451,566043.066,2,True,True,False,False,False
2025-03-25,13796.102,30.335,13.62,294.763,239.577,2,True,True,False,False,False
2025-03-26,13893.653,30.122,22.7,181.704,236.461,2,True,True,False,False,False
2025-03-27,11635.26,35.969,20.43,181.98,275.564,2,True,True,False,False,False
2025-03-28,12348.485,33.891,19.17,214.987,285.968,2,True,True,False,False,False
2025-03-29,8816.266,47.469,19.295,167.518,205.624,2,True,True,False,False,False
2025-03-30,13566.133,30.849,12.485,391.038,337.431,2,True,True,False,False,False
2025-03-31,13311.863,31.438,12.485,370.914,269.206,2,True,True,False,False,False
2025-04-01,13525.029,30.943,15.89,297.27,209.952,2,True,True,False,False,False
2025-04-02,15736.982,26.594,19.295,307.481,540.095,2,True,True,False,False,False
2025-04-03,12210.667,34.274,9.08,497.379,378.048,2,True,True,False,False,False
2025-04-04,15332.636,27.295,9.08,573.496,191.636,2,True,True,False,False,False
2025-04-05,12030.002,34.788,12.485,293.747,206.277,2,True,True,False,False,False
2025-04-06,15298.224,27.356,12.485,359.481,260.345,2,True,True,False,False,False
2025-04-07,14136.805,29.604,14.755,287.551,196.222,2,True,True,False,False,False
2025-04-08,13985.773,29.923,13.62,299.2,297.429,2,True,True,False,False,False
2025-04-09,12055.811,34.714,14.755,226.838,162.518,2,True,True,False,False,False
2025-04-10,8329.713,50.242,13.62,169.178,174.311,2,True,True,False,False,False
2025-04-11,2251.144,185.907,5.675,117.02,410.9,3,True,True,False,True,False
2025-04-13,711.19,588.455,0.0,,438.801,2,True,False,False,True,False
2025-04-14,11734.628,35.664,14.755,243.958,439.012,2,True,True,False,False,False
2025-04-15,14333.72,29.197,6.81,618.286,221.144,2,True,True,False,False,False
2025-04-16,13704.738,30.537,7.945,517.701,239.795,2,True,True,False,False,False
2025-04-17,14500.047,28.862,14.755,275.899,103.002,2,True,True,False,False,False
2025-04-18,12436.259,33.652,7.945,429.086,159.578,2,True,True,False,False,False
