pattern_id,pattern_type,pattern_source,surface,vertex_id,x,y,z_rl
5,Production,legacy_bounds_fit,bottom_toe_floor,2,443850.93270667776,6812656.409004634,185.0
5,Production,legacy_bounds_fit,bottom_toe_floor,3,443936.3609343812,6812640.025508909,185.0
5,Production,legacy_bounds_fit,bottom_toe_floor,4,443924.65843743546,6812524.170789149,185.0
5,Production,legacy_bounds_fit,bottom_toe_floor,5,443886.04019751475,6812539.3840351775,185.0
5,Production,legacy_bounds_fit,bottom_toe_floor,6,443838.0599600375,6812569.810527235,185.0
5,Production,legacy_bounds_fit,top_crest,1,443832.1377003074,6812567.101336824,200.0
5,Production,legacy_bounds_fit,top_crest,2,443846.3695944067,6812662.843169856,200.0
5,Production,legacy_bounds_fit,top_crest,3,443942.29483880324,6812644.4465476405,200.0
5,Production,legacy_bounds_fit,top_crest,4,443929.3657416394,6812516.448485722,200.0
5,Production,legacy_bounds_fit,top_crest,5,443883.5554280376,6812534.494972898,200.0
5,Production,legacy_bounds_fit,top_crest,6,443832.1377003074,6812567.101336824,200.0
6,Production,legacy_bounds_fit,bottom_toe_floor,1,444246.47710344155,6812485.552549226,185.0
6,Production,legacy_bounds_fit,bottom_toe_floor,2,444187.9646187131,6812480.871550448,185.0
6,Production,legacy_bounds_fit,bottom_toe_floor,3,444167.8608256921,6812481.98842784,185.0
6,Production,legacy_bounds_fit,bottom_toe_floor,4,444180.5651604365,6812609.031775285,185.0
6,Production,legacy_bounds_fit,bottom_toe_floor,5,444179.72192974685,6812609.094236817,185.0
6,Production,legacy_bounds_fit,bottom_toe_floor,6,444179.7728708513,6812609.599016851,185.0
6,Production,legacy_bounds_fit,bottom_toe_floor,7,444241.7961046632,6812609.599016851,185.0
6,Production,legacy_bounds_fit,bottom_toe_floor,8,444246.47710344155,6812485.552549226,185.0
6,Production,legacy_bounds_fit,top_crest,1,444174.57529530936,6812604.000957776,200.0
6,Production,legacy_bounds_fit,top_crest,2,444173.7269864964,6812604.063795466,200.0
6,Production,legacy_bounds_fit,top_crest,3,444174.83655093814,6812615.0585703645,200.0
6,Production,legacy_bounds_fit,top_crest,4,444247.05352309364,6812615.0585703645,200.0
6,Production,legacy_bounds_fit,top_crest,5,444252.13015604275,6812480.527797213,200.0
6,Production,legacy_bounds_fit,top_crest,6,444188.03118892026,6812475.399879844,200.0
6,Production,legacy_bounds_fit,top_crest,7,444161.8605797894,6812476.853802576,200.0
6,Production,legacy_bounds_fit,top_crest,8,444174.57529530936,6812604.000957776,200.0
7,Production,legacy_bounds_fit,bottom_toe_floor,1,444109.55788917706,6812614.280015629,185.0
7,Production,legacy_bounds_fit,bottom_toe_floor,2,444041.84107704455,6812622.093493953,185.0
7,Production,legacy_bounds_fit,bottom_toe_floor,3,444018.4814558576,6812625.137739971,185.0
7,Production,legacy_bounds_fit,bottom_toe_floor,4,444018.43665984046,6812624.79400363,185.0
7,Production,legacy_bounds_fit,bottom_toe_floor,5,444018.2784130009,6812624.812262882,185.0
7,Production,legacy_bounds_fit,bottom_toe_floor,6,444015.88944370375,6812625.324184872,185.0
7,Production,legacy_bounds_fit,bottom_toe_floor,7,444015.88962205773,6812625.32565367,185.0
7,Production,legacy_bounds_fit,bottom_toe_floor,8,444015.8400126894,6812625.334777234,185.0
7,Production,legacy_bounds_fit,bottom_toe_floor,9,443936.3609343812,6812642.3660082985,185.0
7,Production,legacy_bounds_fit,bottom_toe_floor,10,443944.5526822431,6812720.772737836,185.0
7,Production,legacy_bounds_fit,bottom_toe_floor,11,444120.0901364282,6812700.878493028,185.0
7,Production,legacy_bounds_fit,bottom_toe_floor,12,444109.55788917706,6812614.280015629,185.0
7,Production,legacy_bounds_fit,top_crest,1,444023.1897026482,6812619.018437618,200.0
7,Production,legacy_bounds_fit,top_crest,2,444023.15521207434,6812618.75377874,200.0
7,Production,legacy_bounds_fit,top_crest,3,444017.3914960123,6812619.418822929,200.0
7,Production,legacy_bounds_fit,top_crest,4,444014.7455084345,6812619.9858202655,200.0
7,Production,legacy_bounds_fit,top_crest,5,443930.4212916653,6812638.055295288,200.0
7,Production,legacy_bounds_fit,top_crest,6,443939.6949842078,6812726.817781054,200.0
7,Production,legacy_bounds_fit,top_crest,7,444126.17430768075,6812705.683457727,200.0
7,Production,legacy_bounds_fit,top_crest,8,444114.32240585703,6812608.234487175,200.0
7,Production,legacy_bounds_fit,top_crest,9,444041.1753788897,6812616.67452875,200.0
7,Production,legacy_bounds_fit,top_crest,10,444023.1897026482,6812619.018437618,200.0
8,Production,legacy_bounds_fit,bottom_toe_floor,1,444337.7565796177,6812500.765795257,185.0
8,Production,legacy_bounds_fit,bottom_toe_floor,2,444314.51782080944,6812494.820996493,185.0
8,Production,legacy_bounds_fit,bottom_toe_floor,3,444309.6657763742,6812493.67899509,185.0
8,Production,legacy_bounds_fit,bottom_toe_floor,4,444308.60269401263,6812493.415999562,185.0
8,Production,legacy_bounds_fit,bottom_toe_floor,5,444296.04887637176,6812490.158509726,185.0
8,Production,legacy_bounds_fit,bottom_toe_floor,6,444284.76428034046,6812487.861174377,185.0
8,Production,legacy_bounds_fit,bottom_toe_floor,7,444284.3531948212,6812487.807419507,185.0
8,Production,legacy_bounds_fit,bottom_toe_floor,8,444246.4317639246,6812486.754046427,185.0
8,Production,legacy_bounds_fit,bottom_toe_floor,9,444241.7961046632,6812609.599016851,185.0
8,Production,legacy_bounds_fit,bottom_toe_floor,10,444240.67001533444,6812609.599016851,185.0
8,Production,legacy_bounds_fit,bottom_toe_floor,11,444240.6258549686,6812610.769266546,185.0
