pattern_id,pattern_type,point_id,x,y,pre_x,pre_y,dx_m,dy_m,post_x,post_y,toe_dx_m,toe_dy_m,toe_post_x,toe_post_y,toe_horizontal_displacement_m,pre_top_z_m,pre_floor_z_m
5,Production,1,363471.6218488556,6591708.391040434,363471.6218488556,6591708.391040434,8.415303669491209,1.5534459867655703,363480.03715252504,6591709.944486421,15.563564273286737,2.3736276671711183,363487.1854131289,6591710.764668101,15.743526961614654,200.0,185.0
5,Production,2,363471.4038244576,6591708.463023411,363471.4038244576,6591708.463023411,8.302278771654322,1.5639344129146655,363479.70610322925,6591710.026957824,15.189226561321254,2.3720111297141795,363486.59305101895,6591710.835034541,15.373322358248885,200.0,185.0
5,Production,3,363464.4686733692,6591710.647104735,363464.4686733692,6591710.647104735,5.807381992259074,1.0332653304553365,363470.2760553615,6591711.680370065,7.4586436274015355,1.2144128465305668,363471.9273169966,6591711.861517581,7.5568620023390665,200.0,185.0
5,Production,4,363458.4106345431,6591713.138381535,363458.4106345431,6591713.138381535,4.280309975825901,0.6715083184168138,363462.69094451895,6591713.809889854,4.189322425949399,0.6382906495072315,363462.59995696903,6591713.7766721845,4.23766885702634,200.0,185.0
5,Production,5,363451.2302278874,6591716.216612219,363451.2302278874,6591716.216612219,3.0555877438547285,0.479899627787952,363454.2858156313,6591716.696511847,2.512298174572226,0.3945348629460324,363453.74252606195,6591716.6111470815,2.5430886488753757,200.0,185.0
5,Production,6,363450.1391336324,6591716.659222567,363450.1391336324,6591716.659222567,2.9684727871348002,0.5570533325311314,363453.10760641954,6591717.2162759,2.434147685450536,0.45678373267552785,363452.5732813179,6591717.1160063,2.4766360921663866,200.0,185.0
5,Production,7,363447.942738142,6591717.500398036,363447.942738142,6591717.500398036,2.867031394264883,0.6627779344652867,363450.80976953625,6591718.16317597,2.3509657432972038,0.5434779062615351,363450.2937038853,6591718.043875942,2.4129666721178302,200.0,185.0
5,Production,8,363454.6225808048,6591790.978667326,363454.6225808048,6591790.978667326,2.8446605165099608,0.8593525392033388,363457.46724132134,6591791.838019866,2.4718897560908206,0.7408424891711598,363457.0944705609,6591791.719509816,2.5805205986444006,200.0,185.0
5,Production,9,363503.3758729016,6591782.012544642,363503.3758729016,6591782.012544642,18.79552476559129,5.33688689325913,363522.17139766715,6591787.349431535,34.59511852692442,5.308274117644138,363537.97099142853,6591787.3208187595,35.0,200.0,185.0
5,Production,10,363493.84936754935,6591703.558971153,363493.84936754935,6591703.558971153,20.965236340060585,2.3936828068448803,363514.8146038894,6591705.952653959,34.92619608744197,2.271745333780401,363528.7755636368,6591705.830716486,35.0,200.0,185.0
5,Production,11,363471.6218488556,6591708.391040434,363471.6218488556,6591708.391040434,8.415303669491209,1.5534459867655703,363480.03715252504,6591709.944486421,15.563564273286737,2.3736276671711183,363487.1854131289,6591710.764668101,15.743526961614654,200.0,185.0
