MEASURE_WHILE_DRILLING_PK,DATE_TIME,DRILL_PATTERN,PATTERN_HOLE_NUMBER,X,Y,Z,BOTTOM_Z,TOP_Z,CURRENT_DEPTH,TOTAL_DEPTH,MINE_HOLE_NUMBER,MWD_DRILL_NUMBER,MWD_DIAMETER,MWD_PEN,MWD_RPM,MWD_TORQUE,MWD_WOB,ACTUAL_MAST_ANGLE,ACTUAL_DRILL_HEADING,AUDIT_JOB_SK,AUDIT_ETL_SK,ODW_INSERT_DATE,ODW_UPDATE_DATE,GUID_HOLE_BY_HOLE,GUID_HOLE_DATA
43853564,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,410.8421,406.6779,420.1819,9.3397827148,13.5039978027,5100001338484,1,251.0,0.8720308542,89.2251052856,2368.7619628906,11.4605970383,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,83B71BDD-AAF4-EE11-8D94-0030646254DD
43853565,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,411.1473,406.6779,420.1819,9.0346069336,13.5039978027,5100001338484,1,251.0,1.0832227468,90.2584228516,2336.3142089844,11.4346475601,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,1588B5D0-AAF4-EE11-8D94-0030646254DD
43853566,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,411.4542,406.6779,420.1819,8.727722168,13.5039978027,5100001338484,1,251.0,1.0765446424,90.6095428467,2459.5881347656,11.3589134216,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,C2840FC6-AAF4-EE11-8D94-0030646254DD
43853567,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,411.7592,406.6779,420.1819,8.4227294922,13.5039978027,5100001338484,1,251.0,1.8360985518,92.5770339966,2365.2365722656,11.4149990082,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,DC2B9ABC-AAF4-EE11-8D94-0030646254DD
43853568,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,412.0652,406.6779,420.1819,8.1167297363,13.5039978027,5100001338484,1,251.0,1.4101529121,92.5143737793,2253.3479003906,11.3982830048,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,C7A309B6-AAF4-EE11-8D94-0030646254DD
43853569,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,412.3707,406.6779,420.1819,7.8112182617,13.5039978027,5100001338484,1,251.0,1.5261315107,92.2422943115,2103.8452148438,10.3216381073,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,DFE1BAAE-AAF4-EE11-8D94-0030646254DD
43853570,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,412.6759,406.6779,420.1819,7.5060119629,13.5039978027,5100001338484,1,251.0,2.2916648388,97.692741394,1934.7692871094,8.304353714,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,17CD9EA7-AAF4-EE11-8D94-0030646254DD
43853571,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,412.9814,406.6779,420.1819,7.2004699707,13.5039978027,5100001338484,1,251.0,2.6328949928,98.2319412231,1871.7470703125,8.3683395386,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,DEFA8C9E-AAF4-EE11-8D94-0030646254DD
43853572,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,413.2886,406.6779,420.1819,6.8933105469,13.5039978027,5100001338484,1,251.0,1.6738504171,87.6513214111,2941.1030273438,8.6140050888,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,DDFA8C9E-AAF4-EE11-8D94-0030646254DD
43853573,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,413.5954,406.6779,420.1819,6.5864562988,13.5039978027,5100001338484,1,251.0,1.0294579268,89.430557251,2456.5854492188,11.430316925,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,5C364398-AAF4-EE11-8D94-0030646254DD
