pattern_id,pattern_type,polygon_part,point_order,x,y,rl,width_m,length_m,area_m2,wkt
1,Ramp,1,1,444444.1709315107,6812393.121272809,185.0,35.0,150.0,5250.000000010305,"POLYGON ((444444.1709315107 6812393.121272809, 444294.171687407 6812392.645070834, 444294.0605736129 6812427.644894458, 444444.0598177166 6812428.121096433, 444444.1709315107 6812393.121272809))"
1,Ramp,1,2,444294.171687407,6812392.645070834,185.0,35.0,150.0,5250.000000010305,"POLYGON ((444444.1709315107 6812393.121272809, 444294.171687407 6812392.645070834, 444294.0605736129 6812427.644894458, 444444.0598177166 6812428.121096433, 444444.1709315107 6812393.121272809))"
1,Ramp,1,3,444294.0605736129,6812427.644894458,185.0,35.0,150.0,5250.000000010305,"POLYGON ((444444.1709315107 6812393.121272809, 444294.171687407 6812392.645070834, 444294.0605736129 6812427.644894458, 444444.0598177166 6812428.121096433, 444444.1709315107 6812393.121272809))"
1,Ramp,1,4,444444.0598177166,6812428.121096433,185.0,35.0,150.0,5250.000000010305,"POLYGON ((444444.1709315107 6812393.121272809, 444294.171687407 6812392.645070834, 444294.0605736129 6812427.644894458, 444444.0598177166 6812428.121096433, 444444.1709315107 6812393.121272809))"
1,Ramp,1,5,444444.1709315107,6812393.121272809,185.0,35.0,150.0,5250.000000010305,"POLYGON ((444444.1709315107 6812393.121272809, 444294.171687407 6812392.645070834, 444294.0605736129 6812427.644894458, 444444.0598177166 6812428.121096433, 444444.1709315107 6812393.121272809))"
2,Slot,1,1,444294.171687407,6812392.645070834,185.0,35.0,110.0,3850.000000010389,"POLYGON ((444294.171687407 6812392.645070834, 444184.1722417309 6812392.295856052, 444184.06112793664 6812427.295679676, 444294.06057361275 6812427.644894458, 444294.171687407 6812392.645070834))"
2,Slot,1,2,444184.1722417309,6812392.295856052,185.0,35.0,110.0,3850.000000010389,"POLYGON ((444294.171687407 6812392.645070834, 444184.1722417309 6812392.295856052, 444184.06112793664 6812427.295679676, 444294.06057361275 6812427.644894458, 444294.171687407 6812392.645070834))"
2,Slot,1,3,444184.06112793664,6812427.295679676,185.0,35.0,110.0,3850.000000010389,"POLYGON ((444294.171687407 6812392.645070834, 444184.1722417309 6812392.295856052, 444184.06112793664 6812427.295679676, 444294.06057361275 6812427.644894458, 444294.171687407 6812392.645070834))"
2,Slot,1,4,444294.06057361275,6812427.644894458,185.0,35.0,110.0,3850.000000010389,"POLYGON ((444294.171687407 6812392.645070834, 444184.1722417309 6812392.295856052, 444184.06112793664 6812427.295679676, 444294.06057361275 6812427.644894458, 444294.171687407 6812392.645070834))"
2,Slot,1,5,444294.171687407,6812392.645070834,185.0,35.0,110.0,3850.000000010389,"POLYGON ((444294.171687407 6812392.645070834, 444184.1722417309 6812392.295856052, 444184.06112793664 6812427.295679676, 444294.06057361275 6812427.644894458, 444294.171687407 6812392.645070834))"
