Date,Shift,Sample,Throughput,PercentSolids,Grade_Au,AU_tailing,Grade_Ag,Grade_Cu,NaCN_Added,NaCN_conc_tailing,Weight_Retained_g_150_plus100mesh,Weight_Retained_g_75_plus200mesh,Weight_Retained_g_46_plus300mesh,Weight_Retained_g_38_plus400mesh,Weight_Retained_g_38_minus400mesh,Weight_Retained_g_Total,Weight_Retained_pct_150_plus100mesh,Weight_Retained_pct_75_plus200mesh,Weight_Retained_pct_46_plus300mesh,Weight_Retained_pct_38_plus400mesh,Weight_Retained_pct_38_minus400mesh,Weight_Retained_pct_Total,Cum_Weight_Passing_pct_150_plus100mesh,Cum_Weight_Passing_pct_75_plus200mesh,Cum_Weight_Passing_pct_46_plus300mesh,Cum_Weight_Passing_pct_38_plus400mesh,Cum_Weight_Passing_pct_38_minus400mesh,pct_Passing_75µm,P80_µm,Au_Assay_150_plus100mesh,Au_Assay_75_plus200mesh,Au_Assay_46_plus300mesh,Au_Assay_38_plus400mesh,Au_Assay_38_minus400mesh,pct_Dist_Retained_Au_150_plus100mesh,pct_Dist_Retained_Au_75_plus200mesh,pct_Dist_Retained_Au_46_plus300mesh,pct_Dist_Retained_Au_38_plus400mesh,pct_Dist_Retained_Au_38_minus400mesh,pctCum_Passing_Au_150_plus100mesh,pctCum_Passing_Au_75_plus200mesh,pctCum_Passing_Au_46_plus300mesh,pctCum_Passing_Au_38_plus400mesh,pctCum_Passing_Au_38_minus400mesh,pct_Passing_75µm_2,Au_P80_µm,Slurry_Volume_m3,Residence_Time_hr
2024-07-05,AM/PM,Leach Feed DS (06-18),570.0639,38.0,0.4166666666666667,0.023343706170520447,9.0,78.66666666666667,2.1580952853440234,287.5,1.6,9.9,,53.2,246.2,310.9,0.0051463493084593125,0.031843036346091994,0.0,0.17111611450627212,0.7918944998391766,1.0,0.9948536506915406,0.9630106143454487,0.9630106143454487,0.7918944998391766,0,0.9630106143454487,31.7429695337824,,,,0.57,0.5,0.0,0.0,0.0,0.1976483470643446,0.8023516529356555,1.0,1.0,1.0,0.8023516529356554,0,1.0,37.377329288132614,570.0639,271.46430426483766
2024-07-10,AM/PM,Leach Feed DS (06-18),728.47,35.0,0.5666666666666668,0.05677800390571447,14.333333333333334,98.66666666666667,2.1580952853440234,333.3333333333333,,10.6,,44.3,155.1,210.0,0.0,0.05047619047619047,0.0,0.21095238095238095,0.7385714285714285,1.0,1.0,0.9495238095238095,0.9495238095238095,0.7385714285714287,0,0.9495238095238095,45.051305817795566,,0.37,,0.83,0.76,0.0,0.02473402410337586,0.0,0.23188305258975703,0.7433829233068672,1.0,0.9752659758966241,0.9752659758966241,0.7433829233068671,0,0.9752659758966241,46.41610318137265,728.47,212.43428006644064
2024-07-11,AM/PM,Leach Feed DS (06-18),835.0200000000001,32.0,0.5616666666666666,0.04349580163926871,12.666666666666666,99.0,2.1580952853440234,500.0,,,,17.0,67.9,84.9,0.0,0.0,0.0,0.20023557126030622,0.7997644287396938,1.0,1.0,1.0,1.0,0.7997644287396938,0,1.0,38.06156862745101,,,,0.3,0.51,0.0,0.0,0.0,0.12836970474967904,0.8716302952503209,1.0,1.0,1.0,0.871630295250321,0,1.0,8.798000000000002,835.0200000000001,185.32729754975927
2024-07-12,AM/PM,Leach Feed DS (06-18),995.7500000000001,34.0,0.5866666666666667,0.03341461291332454,12.333333333333334,101.66666666666667,2.1580952853440234,445.45454545454544,,,,35.5,118.0,153.5,0.0,0.0,0.0,0.23127035830618892,0.7687296416938111,1.0,1.0,1.0,1.0,0.7687296416938111,0,1.0,45.076056338028195,,,,0.29,0.64,0.0,0.0,0.0,0.11996737167161918,0.8800326283283808,1.0,1.0,1.0,0.8800326283283808,0,1.0,3.08738870001622,995.7500000000001,155.4125031383379
2024-07-13,AM/PM,Leach Feed DS (06-18),508.6400000000001,33.0,0.5905555555555555,0.04446461893363288,12.444444444444445,95.22222222222223,2.1580952853440234,316.6666666666667,,,,10.999999999999998,73.3,84.3,0.0,0.0,0.0,0.13048635824436536,0.8695136417556346,1.0,1.0,1.0,1.0,0.8695136417556346,0,1.0,10.120606060606065,,,,0.21,0.53,0.0,0.0,0.0,0.056123812531888514,0.9438761874681114,1.0,1.0,1.0,0.9438761874681115,0,1.0,17.491601731601705,508.6400000000001,304.24661843346956
2024-07-14,AM/PM,Leach Feed DS (06-18),1007.6270000000001,39.0,0.69,0.0550411313152691,14.5,95.5,2.1580952853440234,250.0,67.6,41.1,,91.9,205.4,406.0,0.16650246305418717,0.10123152709359606,0.0,0.22635467980295568,0.5059113300492611,1.0,0.8334975369458129,0.7322660098522168,0.7322660098522168,0.5059113300492611,0,0.7322660098522168,105.1965671056708,0.68,1.03,,0.57,0.5,0.18887026263024684,0.17393501627058477,0.0,0.21522778818656935,0.421966932912599,0.8111297373697531,0.6371947210991684,0.6371947210991684,0.42196693291259907,0,0.6371947210991684,125.22450335244633,1007.6270000000001,153.58064045524782
2024-07-15,AM/PM,Leach Feed DS (06-18),991.575,42.0,0.715,0.0675795711940145,21.5,99.0,2.1580952853440234,291.6666666666667,131.0,72.3,,89.7,204.9,497.9,0.2631050411729263,0.1452098815023097,0.0,0.1801566579634465,0.41152841936131757,1.0,0.7368949588270737,0.5916850773247639,0.5916850773247639,0.41152841936131745,0,0.5916850773247639,149.15000966078156,1.13,0.93,,0.98,0.79,0.31831259703341175,0.14458569689880144,0.0,0.1890264618983929,0.34807524416939406,0.6816874029665883,0.5371017060677868,0.5371017060677868,0.34807524416939395,0,0.5371017060677868,164.79785405491893,991.575,156.06686332350048
2024-07-27,AM/PM,Leach Feed DS (06-18),813.97,37.23,0.6,0.0650232053671419,16.5,99.5,2.1580952853440234,75.0,21.0,53.3,44.4,27.1,184.6,330.4,0.06355932203389832,0.16131961259079902,0.13438256658595643,0.08202179176755449,0.5587167070217918,1.0,0.9364406779661016,0.7751210653753027,0.6407384987893463,0.5587167070217918,0,0.7751210653753027,98.7893632173294,0.42,0.56,0.52,0.48,0.73,0.042095818100247234,0.1424575939519478,0.11019367894540909,0.062084172545126534,0.6431687364572694,0.9579041818997528,0.815446587947805,0.7052529090023959,0.6431687364572694,0,0.815446587947805,84.28079901937224,813.97,190.12002899369756
2024-07-28,AM/PM,Leach Feed DS (06-18),790.7199999999999,39.23,0.67,0.049994650797027945,13.0,90.0,2.1580952853440234,120.83333333333333,7.5,53.4,41.6,24.4,185.0,311.9,0.02404616864379609,0.17120872074382815,0.133376082077589,0.0782302019878166,0.5931388265469703,1.0,0.975953831356204,0.8047451106123757,0.6713690285347867,0.5931388265469701,0,0.8047451106123757,88.68976012072588,0.39,0.39,0.51,0.22,0.55,0.019232665943386924,0.13693658151691487,0.13950093697603314,0.03529605155011999,0.6690337640135451,0.9807673340566131,0.8438307525396982,0.704329815563665,0.6690337640135451,0,0.8438307525396982,77.42723859801345,790.7199999999999,195.7102387697289
2024-07-29,AM/PM,Leach Feed DS (06-18),989.2256,34.71,0.5337023879735274,0.05349783163735973,12.029487149957955,81.25539481640813,2.1580952853440234,158.33333333333334,40.5,28.8,33.1,15.1,193.5,311.0,0.1302250803858521,0.09260450160771705,0.10643086816720258,0.04855305466237942,0.6221864951768489,1.0,0.8697749196141479,0.7771704180064308,0.6707395498392282,0.6221864951768488,0,0.7771704180064308,105.78380982952064,0.49,0.45,0.6,0.72,0.6,0.11047278678668648,0.07214549341171363,0.11055628851517225,0.060522052806493094,0.6463033784799345,0.8895272132133135,0.8173817198015999,0.7068254312864276,0.6463033784799345,0,0.8173817198015999,92.35172983098414,989.2256,156.4375204200134
