Date,Time,Date Time,Pre_Leach_Density_pct_w_w,Leach_Tank_01_Density_pct_w_w,Leach_Tank_01_pH,Leach_Tank_01_CN_ppm,Leach_Tank_01_DO_ppm,Leach_Tank_02_Density_pct_w_w,Leach_Tank_02_pH,Leach_Tank_02_CN_ppm,Leach_Tank_02_DO_ppm,CIL_Tank_01_Density_pct_w_w,CIL_Tank_01_pH,CIL_Tank_01_CN_ppm,CIL_Tank_01_DO_ppm,CIL_Tank_01_Carbon_gpl,CIL_Tank_02_Density_pct_w_w,CIL_Tank_02_pH,CIL_Tank_02_CN_ppm,CIL_Tank_02_DO_ppm,CIL_Tank_02_Carbon_gpl,CIL_Tank_03_Density_pct_w_w,CIL_Tank_03_pH,CIL_Tank_03_CN_ppm,CIL_Tank_03_DO_ppm,CIL_Tank_03_Carbon_gpl,CIL_Tank_04_Density_pct_w_w,CIL_Tank_04_pH,CIL_Tank_04_CN_ppm,CIL_Tank_04_DO_ppm,CIL_Tank_04_Carbon_gpl,CIL_Tank_05_Density_pct_w_w,CIL_Tank_05_pH,CIL_Tank_05_CN_ppm,CIL_Tank_05_DO_ppm,CIL_Tank_05_Carbon_gpl,CIL_Tank_06_Density_pct_w_w,CIL_Tank_06_pH,CIL_Tank_06_CN_ppm,CIL_Tank_06_DO_ppm,CIL_Tank_06_Carbon_gpl,Tailing_Density_pct_w_w,Tailing_CN_ppm,DO_Purity_pct_w_w,DO_Flow,Feed_Ton_Dry,Feed_Grade_Au_ppm,Feed_Grade_Ag_ppm,Feed_Grade_Cu_ppm,Tail_Ton_Dry,Tail_Solution_Volume_m3,Tail_Solid_Au_ppm,Tail_Solid_Ag_ppm,Tail_Solid_Cu_ppm,Tail_Solution_Au_ppm,Tail_Solution_Ag_ppm,Tail_Solution_Cu_ppm,Slurry_Volume_m3,Residence_Time_hr,Adjusted_Residence_Time_hr,Au_Input_g,Au_Tail_g,Recovery_pct,Avg_Tank_CN_ppm,Avg_Tank_DO_ppm,Avg_Tank_Carbon_gpl,NaCN_Added_Est_kg,NaCN_in_Tails_Est_kg,NaCN_Loss_pct,NaCN_Utilisation_pct,NaCN_Difference_ppm,NaCN_Difference_kg,Au_Recovery_pct,Au_Tail_to_Feed_Solid_Ratio,CN_to_Au_Ratio,DO_Carbon_Interaction,Grade_x_RT,CN_x_DO,CN_per_Grade,NaCN_per_Grade,Residence_Time_Modifier,Inferred_Sample_Type,k_fit,Sample_Type,f_fast,k_fast,k_slow,Predicted_Recovery_Kinetic
2025-01-30,1900-01-29 06:00:00,2025-01-30 06:00:00,43,41.0,10.7,300.0,8.5,40.0,10.3,300.0,8.2,38.0,10.2,0.0,7.8,17.3,36,10.2,0.0,7.4,14.0,35.0,10.2,0.0,6.6,5.7,35.0,10.3,0.0,6.8,10.5,34.0,10.3,0.0,7.0,13.2,34,10.4,290.0,6.9,11.3,30,220.0,58.80126953125,368.7981051127116,1143.3906,0.6,24.0,61.0,1183.7766858154016,2490.6192647106222,0.05941414486398967,17.881372701234962,51.83623737773998,0.009965754183194474,0.6197033105798079,1.5297002834522957,810.3521016000001,7.957034957111536,24,686.03436,70.33307949764985,89.74787800750245,296.6666666666667,7.3999999999999995,12.0,343.01718,547.9362382363369,159.74017343281082,-59.74017343281082,80.0,-204.91905823633687,90.09764252266838,0.09902357477331611,494.4444444444445,88.8,4.774220974266921,2195.3333333333335,494.4362038410472,571.6857719038017,0.9,Sulfide High Grade,0.208,Composite GC,0.5,0.077,0.077,84.2448044669658
2025-01-31,1900-01-30 06:00:00,2025-01-31 06:00:00,38,39.0,10.4,300.0,8.0,40.0,10.4,300.0,7.9,38.0,10.3,0.0,7.8,16.73,37,10.2,0.0,7.8,15.0,36.0,10.2,0.0,7.8,14.8,36.0,10.2,0.0,6.7,13.65,35.0,10.1,0.0,7.0,5.96,36,10.2,250.0,6.4,14.8,30,130.0,58.2316093444824,383.391807047526,1094.139651955452,0.67,23.5,61.0,1050.7133354609748,2112.145018778437,0.05963285990773163,17.00083290016005,55.281508658576364,0.009979492663502154,0.35000037502179615,2.200903404206856,775.446611513155,8.315208170705397,24,733.073566810153,62.65704113672974,91.45283038790072,283.3333333333333,7.425,13.49,328.2418955866356,274.57885244119683,83.65137300662613,16.34862699337387,170.0,53.66304314543879,91.09957314809975,0.08900426851900242,422.8855721393034,100.16325,5.571189474372616,2103.75,422.8792605085496,489.9059649656507,0.9,Sulfide High Grade,0.208,Composite GC,0.5,0.077,0.077,84.2448044669658
2025-02-02,1900-01-01 06:00:00,2025-02-02 06:00:00,40,38.0,10.3,250.0,8.1,40.0,9.9,300.0,10.1,37.0,9.9,0.0,10.1,17.3,36,9.9,0.0,8.6,15.0,35.0,9.9,0.0,8.3,12.5,36.0,9.9,0.0,8.5,6.73,35.0,9.9,0.0,7.8,13.4,35,9.9,250.0,8.4,15.38,30,200.0,58.6100273132324,385.22147407531736,1135.5384000000001,0.32,9.0,42.0,1203.074673757406,2418.4219364460305,0.05024944083984184,12.463516859671053,50.676272017479874,0.010020051006761618,0.481490373498473,1.7192582017118212,804.787033309091,8.012057517238285,24,363.372288,60.45382964488479,83.36311500868091,266.6666666666667,8.7375,13.385,283.88460000000003,483.6843872892061,170.38063610678634,-70.38063610678634,50.0,-199.79978728920605,84.29704973754943,0.15702950262450574,833.3333333333334,116.95143750000001,2.563858405516251,2330.0000000000005,833.3072924804434,887.1116527608513,1.2,Sulfide Low Grade,0.153,Sulfide Low Grade,0.5,0.153,0.153,97.45744320742241
2025-02-03,1900-01-02 06:00:00,2025-02-03 06:00:00,43,41.0,10.0,350.0,7.4,40.0,10.1,350.0,8.6,40.0,10.0,0.0,7.2,17.3,41,10,0.0,7.4,15.19,38.0,10.0,0.0,7.0,15.38,38.0,9.7,0.0,6.7,11.73,39.0,10.0,0.0,7.0,12.5,39,10,180.0,6.2,5.38,32,160.0,58.6100273132324,385.22147407531736,1140.5792999999999,0.5,14.5,43.0,1171.0045194505988,2250.620217930679,0.08030603589067177,10.258429964153326,45.175731387147266,0.010009182841182691,0.46,1.7234514633681903,808.3596566181818,7.976647457859997,24,570.2896499999999,94.03873096713863,83.51035636590308,293.3333333333333,7.1875,12.913333333333334,399.20275499999997,360.0992348689086,90.20459662632054,9.795403373679463,190.0,39.103520131091386,83.93879282186565,0.16061207178134354,586.6666666666666,92.81458333333333,3.9883237289299984,2108.333333333333,586.6549335679953,798.3895422091558,0.9,Sulfide High Grade,0.208,Composite GC,0.5,0.077,0.077,84.2448044669658
2025-02-04,1900-01-03 06:00:00,2025-02-04 06:00:00,43,43.0,4.1,350.0,7.2,41.0,10.6,300.0,7.0,41.0,10.3,0.0,6.9,17.3,39,10.3,0.0,6.9,15.0,37.0,10.2,0.0,6.0,14.61,38.0,10.2,0.0,6.0,10.57,0.0,10.2,0.0,6.1,14.61,37,10.1,220.0,5.6,16.34,29,170.0,59.2203788757324,384.4966480255127,1201.152,0.48,15.0,42.5,1146.3920931035361,2107.934541774536,0.050039822242989654,10.201323018589052,43.422758410831314,0.01000292259586061,0.52100050533668,0.7408114016772563,851.2891810909091,7.574394392910086,24,576.55296,57.365256559669795,90.05030577595686,290.0,6.4625,14.738333333333335,420.4032,358.3488721016711,85.23933026715093,14.760669732849067,180.0,62.05432789832895,89.5750370327105,0.10424962967289511,604.1666666666667,95.24647916666669,3.635709308596841,1874.125,604.1540801233308,875.8217537134643,1.2,Sulfide Low Grade,0.153,Composite GC,0.5,0.077,0.077,84.2448044669658
2025-02-05,1900-01-04 06:00:00,2025-02-05 06:00:00,36,40.0,10.0,250.0,7.2,40.0,10.4,250.0,7.1,10.4,7.2,0.0,7.2,16.3,38,10.4,0.0,6.4,10.3,40.0,10.4,0.0,6.3,14.4,38.0,10.3,0.0,7.1,11.7,39.0,10.2,0.0,6.11,13.4,38,10.2,240.0,6.9,14.8,30,180.0,84.3546524047852,1.5794993877410894,1227.578,0.7,15.0,46.5,1274.3854577828818,2449.3139258494525,0.05002279806837106,12.228239106921503,45.16082321436759,0.010001746441610733,0.7215785516037693,0.8901200388895143,870.018008,7.41134084663682,24,859.3045999999999,63.748326415941705,92.58140519485852,246.66666666666666,6.78875,13.483333333333334,306.8945,440.87650665290147,143.65735021412942,-43.65735021412942,70.0,-133.98200665290148,92.85388599023271,0.07146114009767295,352.3809523809524,91.53497916666667,5.187938592645774,1674.5583333333334,352.37591843926043,438.4144512221254,0.9,Sulfide High Grade,0.208,Composite GC,0.5,0.077,0.077,84.2448044669658
2025-02-06,1900-01-05 06:00:00,2025-02-06 06:00:00,40,40.0,10.0,350.0,6.2,39.0,10.0,300.0,6.1,36.0,10.0,0.0,6.5,16.34,36,10,0.0,6.2,14.42,36.0,10.1,0.0,6.2,14.42,36.0,10.1,0.0,5.2,10.57,36.0,10.2,0.0,6.7,14.23,37,10.2,240.0,5.5,14.61,30,220.0,64.2252655029297,333.8065442721049,1526.631,0.68,12.0,49.0,1467.7914922941727,2821.031988684199,0.05024330360693551,11.139660582580815,46.20121954185502,0.010018698497328693,1.0524448699177993,1.7334105600765168,1081.9650250909092,5.959527203255229,24,1038.1090800000002,73.74669357901307,92.89605543388436,296.6666666666667,6.075,14.098333333333334,534.32085,620.6270375105238,116.15250228594371,-16.15250228594371,130.0,-86.30618751052384,92.61127888133302,0.07388721118666987,436.27450980392155,85.64737500000001,4.052478498213556,1802.2500000000002,436.2680940966555,785.7544006705783,0.9,Sulfide High Grade,0.208,Composite GC,0.5,0.077,0.077,84.2448044669658
2025-02-07,1900-01-06 06:00:00,2025-02-07 06:00:00,42,42.0,10.8,250.0,5.9,42.0,10.3,300.0,5.9,39.0,10.4,0.0,5.6,17.88,38,10.2,0.0,5.7,13.46,38.0,10.2,0.0,5.4,6.73,37.0,10.1,0.0,5.9,11.53,37.0,10.1,0.0,6.2,14.42,38,10,250.0,6.4,16.34,31,190.0,67.29736328125,324.3734331607819,1049.3045999999997,0.52,15.5,54.5,1114.2253950218694,2141.4931878696384,0.059926474874951396,12.956915603881733,42.259114100768784,0.009996067866945626,0.9595476121933355,1.6539177814325379,743.6707874181816,8.670503277916382,24,545.6383919999998,66.77160013981086,87.76266459274169,266.6666666666667,5.875,13.393333333333333,262.3261499999999,406.88370569523124,155.10604097046038,-55.106040970460384,60.0,-144.55755569523131,88.4756779086632,0.11524322091336807,512.8205128205128,78.68583333333333,4.508661704516519,1566.6666666666667,512.8106510772229,504.4636641603045,0.9,Sulfide High Grade,0.208,Composite GC,0.5,0.077,0.077,84.2448044669658
2025-02-08,1900-01-07 06:00:00,2025-02-08 06:00:00,-,38.0,10.2,200.0,6.2,37.0,10.2,250.0,6.1,37.0,10.3,0.0,5.7,17.3,37,10.3,0.0,5.2,15.19,36.0,10.3,0.0,5.2,12.5,36.0,10.3,0.0,5.1,13.46,37.0,10.2,0.0,5.3,14.25,37,10.2,180.0,5.2,10.57,24,140.0,67.3828125,214.9657595793406,181.4692,0.45,13.0,64.0,196.6035908653584,377.86362833761365,0.05998765660974212,12.991322366457519,41.30573911912611,0.00999933420700492,0.9599082255399921,1.6511491050461318,128.6121712,50.135223904842995,24,81.66114,11.793788697073351,85.55764872119916,210.0,5.5,13.878333333333336,36.29384,52.900907967265915,145.7572634013538,-45.75726340135381,60.0,-16.607067967265913,86.66940964227953,0.1333059035772047,466.66666666666663,76.33083333333335,22.56085075717935,1155.0,466.6562965267438,80.65118552921047,1.2,Sulfide Low Grade,0.153,Composite GC,0.5,0.077,0.077,84.2448044669658
2025-02-14,1900-01-13 06:00:00,2025-02-14 06:00:00,35,36.0,10.1,200.0,6.2,38.0,10.1,200.0,6.0,38.0,10.1,0.0,6.2,16.5,37,10.1,0.0,6.2,16.5,35.0,10.1,0.0,6.1,12.3,36.0,10.1,0.0,6.2,11.53,36.0,10.1,0.0,6.2,15.3,36,10.1,200.0,6.1,17.3,28,180.0,88.28125,98.09003608226777,943.8448,0.78,24.0,48.0,1045.5146792516741,2009.4341534831244,0.04997200970948193,11.142686043252903,45.48975403995536,0.009997841956248628,0.8817543634460104,2.2576307971269785,668.9285509818181,9.639295542903595,24,736.198944,52.24646970297054,92.90321316964962,200.0,6.15,14.905,188.76896,361.6981476269624,191.60891050465204,-91.60891050465204,20.0,-172.9291876269624,93.59333208852796,0.06406667911472042,256.4102564102564,91.66575,7.518650523464804,1230.0,256.40696914142126,242.00838450789092,0.9,Sulfide High Grade,0.208,Composite GC,0.5,0.077,0.077,84.2448044669658
